name,location,latitude,longitude
Burger King,Bannerghatta Road,,
Dadi's Dum Biryani,Bannerghatta Road,,
Alankrutha,Btm,,
Paradise,Jp Nagar,,
Mughlai Kitchen,Btm,,
Andhra Ruchulu,Jp Nagar,,
Adithya,Jp Nagar,12.9118641,77.5867606
KFC,Jp Nagar,12.9152396,77.585919
Dande's Hyderabad Biryani,Bannerghatta Road,,
Shuddh Desi Khana,Bannerghatta Road,,
Mani's Dum Biryani,Jp Nagar,,
Amontron,Btm,,
Birinz,Btm,,
Hyderabad Biryaani House,Bannerghatta Road,,
Galito's,Bannerghatta Road,,
Rajdhani Thali Restaurant,Bannerghatta Road,,
PHEW (Play Hard Eat Wild),Btm,,
Chicken County Grand,Bannerghatta Road,,
Roll Over,Jp Nagar,12.8994481,77.5859306
Savoury - Sea Shell Restaurant,Bannerghatta Road,12.9310514,77.6009198
The Shawarma Shop,Btm,,
Faasos,Bannerghatta Road,,
Mealer.in,Jp Nagar,,
Amritsari Kulcha Land,Jp Nagar,,
Chokha Chowka,Btm,,
Bathinda Junction,Btm,,
Stories,Jp Nagar,,
Agarwal Food Service,Bannerghatta Road,,
Seasons,Bannerghatta Road,,
Chung Wah,Bannerghatta Road,,
Marwa Restaurant,Bannerghatta Road,,
Shanghai Court,Bannerghatta Road,,
Bhojohori Manna,Jp Nagar,,
Chulha Chauki Da Dhaba,Jp Nagar,12.9122707,77.5860983
Elegant Dining,Bannerghatta Road,,
Basmati Delights,Btm,,
Punjabi Swag,Btm,12.9136689,77.6099505
Kakal-Kai Ruchi,Jp Nagar,12.9007694,77.5872749
BANGALORE BOX,Btm,,
Chavadi,Bannerghatta Road,,
Cucumber Town,Btm,,
Brewsky,Jp Nagar,,
Chefeana,Bannerghatta Road,,
Gud Dhani,Btm,,
McDonald's,Bannerghatta Road,12.8759805,77.5952792
Zhang's - Chinese Restaurant,Jp Nagar,,
Shagun Sweets & Foods,Btm,,
Oogway Express,Jp Nagar,,
Pizza Stop,Jp Nagar,12.9055105,77.595119
The Egg Factory,Jp Nagar,,
Momo Jojo,Jp Nagar,,
Simply Indian,Bannerghatta Road,,
Punjabi Times,Bannerghatta Road,,
Cravy Wings,Bannerghatta Road,,
Funky Punjab,Jp Nagar,12.9001563,77.585937
Punjabi Corner,Bannerghatta Road,,
Ambara Gardenia,Bannerghatta Road,,
Crafted Plate,Jp Nagar,,
The Coastal Crew by Fujian on 24th,Jp Nagar,,
Tempteys,Btm,,
Crumb Together,Jp Nagar,,
Nagarjuna,Bannerghatta Road,12.9047312,77.6014844
Late Night,Kumaraswamy Layout,,
Waffle Walle,Bannerghatta Road,,
Two Friends Cauldron,Jp Nagar,,
Bun Town,Btm,,
Mango Tree- The Beer Garden,Jp Nagar,,
Drunken Monkey,Bannerghatta Road,,
Intalia,Bannerghatta Road,,
The Chervil,Jp Nagar,,
Stoned Monkey,Jp Nagar,,
Watson's,Jp Nagar,,
Nandhana Palace,Bannerghatta Road,,
On The Nose,Btm,,
Natural Ice Cream,Bannerghatta Road,,
Churchill's,Jp Nagar,,
Ruh's Cafe,Btm,,
Mojo Pizza - 2X Toppings,Bannerghatta Road,,
Caffe Pascucci,Jp Nagar,,
Willys Top Cafe,Jayanagar,,
D View Cafe,Jp Nagar,,
Flavour of China,Btm,,
Casa Piccosa,Jp Nagar,,
Tongue Twisters,Btm,,
Vaathsalya Millet Cafe,Jp Nagar,,
Mandi,Jp Nagar,,
Pallavi North Indian Veg Restaurant,Jp Nagar,,
TGI Fridays,Bannerghatta Road,,
Bottle Breacher,Jp Nagar,,
Kesariya,Jp Nagar,,
Checkpost,Jp Nagar,,
Nandhini Paradise,Jp Nagar,,
Coastal Mama,Jp Nagar,,
Cream Stone,Jp Nagar,,
Kabab Magic,Bannerghatta Road,,
Purani Dilli By Anand Sweets,Bannerghatta Road,,
Domino's Pizza,Bannerghatta Road,,
KFC,Bannerghatta Road,,
Hakuna Matata,Jp Nagar,,
Three Dots & A Dash,Jp Nagar,,
Hunger Camp,Jp Nagar,,
55 Wall Street,Jp Nagar,,
Inchara,Jp Nagar,,
Kabab Mehal,Jp Nagar,,
1947,Jayanagar,,
The Yellow Chilli,Jayanagar,,
Tea Villa Cafe,Jayanagar,,
Onesta,Basavanagudi,,
Go Native,Jayanagar,,
Alchemy Coffee Roasters,Jayanagar,,
Rooftop Cafe,Jayanagar,,
Enerjuvate Studio & Cafe,Jayanagar,,
The Caramelts Cafe,Jayanagar,,
SlimSins Cafe,Jayanagar,,
Krazzy Folds,Jayanagar,,
Leon Grill,Jayanagar,,
Shanmukha,Koramangala 5Th Block,,
Mysuru Coffee Thindi,Jayanagar,,
Just Shawarma,Jayanagar,,
Krispy Kreme,Jayanagar,,
Marenahalli Donne Biriyani,Jp Nagar,,
Keventers,Jayanagar,,
Dadi's Dum Biryani,Btm,,
Tummy Fuel,Jayanagar,,
Punjabi by Nature 2.0,Btm,,
Pin Me Down,Btm,,
Cakewala,Jayanagar,,
McDonald's,Basavanagudi,,
Malabar Bay,Btm,,
Domino's Pizza,Wilson Garden,,
Bubblewrap Waffle Co.,Jayanagar,,
Waffle Stories,Jayanagar,,
Shake It Off,Jayanagar,,
Mudpipe Cafe,Btm,,
Mockaholic Restro Beer Cafe,Jp Nagar,,
Mug N Bean,Jayanagar,,
Pop Hop,Jayanagar,,
Aramane Donne Briyani,Jp Nagar,,
Hari Super Sandwich,Basavanagudi,,
Mecaf Family Restaurant,Btm,,
By 2 Coffee,Basavanagudi,,
Euki,Jayanagar,,
Rajdhani Thali Restaurant,Jp Nagar,,
Rajvardhan Foods,Jayanagar,,
Desi Rasoi,Jayanagar,,
Red Onion,Shanti Nagar,,
Baba Chatkora,Basavanagudi,,
Mainland China,Jayanagar,,
Kudla - Hotel Ramanashree,Richmond Road,,
Cable Car,Jayanagar,,
Vindu Andhra Ruchulu,Jayanagar,,
Nandhini Deluxe,Jayanagar,,
Parika Multicuisine Restaurant,Richmond Road,,
Eshanya,Jayanagar,,
Clove Rooftop,Jayanagar,,
Nagarjuna Chimney,Jayanagar,,
La Casa,Jayanagar,,
V B Bakery,Basavanagudi,,
Corner House Ice Cream,Basavanagudi,,
Natural Ice Cream,Jayanagar,,
Cool Joint,Jayanagar,,
The Rogue Elephant,Basavanagudi,,
Mavalli Tiffin Room (MTR),Basavanagudi,,
Brahmin's Coffee Bar,Basavanagudi,,
KFC,Basavanagudi,,
Domino's Pizza,Basavanagudi,,
New Modern Hotel,Basavanagudi,,
Once Upon a Rooftop,Jayanagar,,
Fusion Theory,Jayanagar,,
Kapoor's Cafe,Jayanagar,,
Saarangi Fine Dining,Jayanagar,,
Golden Oak - La Marvella Sarovar Premiere Hotel,Jayanagar,,
Halli Jonne Biriyani,Jayanagar,,
Brahmin Tiffins & Coffee,Jayanagar,,
Vasudev Adiga's,Jayanagar,,
Kava - Fairfield by Marriott,Bellandur,,
The Fisherman's Wharf,Sarjapur Road,,
MoMo Cafe - Courtyard by Marriott,Bellandur,,
Ruh,Bellandur,,
Tipsy Bull - The Bar Exchange,Bellandur,,
Nook - Aloft Bengaluru Cessna Business Park,Bellandur,,
Chaarcoal,Bellandur,,
Sharaab Factory,Bellandur,,
Skylit - Citrus Hotels,Bellandur,,
Punjabi Times,Bellandur,,
The Black Pearl,Marathahalli,,
Jalsa Gold,Marathahalli,,
AB's - Absolute Barbecues,Sarjapur Road,,
The Hidden Home,Sarjapur Road,,
Barbecoa,Marathahalli,,
Village - The Soul of India,Sarjapur Road,,
Little Italy,Sarjapur Road,,
Xtreme Sports Bar,Sarjapur Road,,
RRoyal Rajasthan,Sarjapur Road,,
The Hub - Ibis Bengaluru,Marathahalli,,
Cafe Thulp,Bellandur,,
Stoner,Sarjapur Road,,
